id,name,park_id,latitude,longitude
242,Cosby - Great Smoky Mountains National Park,27,35,-83
240,Abrams Creek - Great Smoky Mountains National Park,27,35,-83
243,Elkmont - Great Smoky Mountains National Park,27,35,-83
244,Look Rock - Great Smoky Mountains National Park,27,35,-83
245,Dog Canyon  - Guadalupe Mountains National Park,28,31,-104
246,Pine Springs - Guadalupe Mountains National Park,28,31,-104
247,Holua Dispersed - Haleakala National Park - Maui,29,20,-156
248,Hosmer Grove  - Haleakala National Park - Maui,29,20,-156
249,Namakani Paio - Hawaii Volcanoes National Park,30,19,-155
250,Gulpha Gorge - Hot Springs National Park,31,34,-93
251,Belle - Joshua Tree National Park,33,34,-116
252,Black Rock Canyon - Joshua Tree National Park,33,34,-116
253,Cottonwood - Joshua Tree National Park,33,33,-115
254,Indian Cove - Joshua Tree National Park,33,34,-116
256,Jumbo Rocks - Joshua Tree National Park,33,33,-116
255,Hidden Valley - Joshua Tree National Park,33,34,-116
257,Ryan - Joshua Tree National Park,33,33,-116
258,White Tank - Joshua Tree National Park,33,33,-116
259,Azalea - Sequoia and Kings Canyon National Park,36,36,-118
260,Canyon View - Sequoia and Kings Canyon National Park,36,36,-118
261,Moraine - Kings Canyon National Park,36,36,-118
265,Crags - Lassen Volcanic National Park,39,40,-121
272,Mammoth Cave - Mammoth Cave National Park,40,37,-86
282,Elwha - Olympic National Park,44,48,-123
294,Gold Bluffs Beach - Prarie Creek Redwoods State Park,47,41,-124
303,Buckeye Flat - Sequoia National Park,50,36,-118
313,Cottonwood - Theodore Roosevelt National Park,52,46,-103
324,Norris - Yellowstone National Park,57,44,-110
334,Tamarack Flat - Yosemite National Park,58,37,-119
266,Juniper Lake - Lassen Volcanic National Park,39,40,-121
273,Cougar Rock - Mount Rainier National Park,42,46,-121
284,Fairholm - Olympic National Park,44,48,-123
292,Pinnacles,46,36,-121
305,Dorst  Creek - Sequoia National Park,50,36,-118
315,Bridge Bay - Yellowstone National Park,57,44,-110
326,Slough Creek - Yellowstone National Park,57,44,-110
267,Manzanita Lake - Lassen Volcanic National Park,39,40,-121
274,Morefield - Mesa Verde National Park,41,37,-108
285,Heart O The Hills - Olympic National Park,44,48,-123
295,Jedediah Smith Redwoods State Park,47,41,-124
308,South Fork - Sequoia National Park,50,36,-118
316,Canyon - Yellowstone National Park,57,44,-110
327,Tower Falls - Yellowstone National Park,57,44,-110
332,Porcupine Flat - Yosemite National Park,58,37,-119
268,Southwest - Lassen Volcanic National Park,39,40,-121
276,Mowich Lake - Mount Rainier National Park,42,46,-121
287,Mora - Olympic National Park,44,47,-124
298,Glacier Basin - Rocky Mountain National Park,48,40,-105
301,Moraine Park,48,40,-105
318,Elk Mountain  - Wind Cave National Park,55,43,-103
328,Bridalveil Creek - Yosemite National Park,58,37,-119
340,Yosemite Creek - Yosemite National Park,58,37,-119
269,Warner Valley - Lassen Volcanic National Park,39,40,-121
275,Ipsut Creek - Mount Rainier National Park,42,46,-121
283,Graves Creek,44,47,-123
293,Elk Prairie  - Prairie Creek Redwoods State Park,47,41,-124
300,Timber Creek - Rocky Mountain National Park,48,40,-105
311,Lewis Mountain - Shenandoah National Park,51,38,-78
319,Grant - Yellowstone National Park,57,44,-110
329,Crane Flat - Yosemite National Park,58,37,-119
335,Tuolumne Meadows - Yosemite National Park,58,37,-119
270,Houchins Ferry  - Mammoth Cave National Park,40,37,-86
277,Ohanapecosh - Mount Rainier National Park,42,46,-121
286,Kalaloch - Olympic National Park,44,47,-124
296,Mill Creek - Del Norte Coast Redwoods State Park,47,41,-124
306,Lodgepole - Sequoia National Park,50,36,-118
312,Mathews Arm - Shenandoah National Park,51,38,-78
323,Madison - Yellowstone National Park,57,44,-110
336,Upper Pines - Yosemite National Park,58,37,-119
271,Summit Lake (north and south) - Lassen Volcanic National Park,39,40,-121
278,White River - Mount Rainier National Park,42,46,-121
290,Queets,44,47,-124
302,Atwell Mill - Sequoia National Park,50,36,-118
310,Loft Mountain - Shenandoah National Park,51,38,-78
320,Indian Creek - Yellowstone National Park,57,44,-110
331,Hodgdon Meadow - Yosemite National Park,58,37,-119
337,Upper River - Yosemite National Park,58,37,-119
263,Sheep Creek - Kings Canyon National Park,36,36,-118
279,Altaire - Olympic National Park,44,48,-123
289,Sol Duc - Olympic National Park,44,47,-123
297,Aspenglen - Rocky Mountain National Park,48,40,-105
307,Potwisha - Sequoia National Park,50,36,-118
317,Fishing Bridge RV - Yellowstone National Park,57,44,-110
325,Pebble Creek - Yellowstone National Park,57,44,-110
339,White Wolf - Yosemite National Park,58,37,-119
264,Butte Lake - Lassen Volcanic National Park,39,40,-121
281,Dosewallips,44,47,-123
291,Staircase - Olympic National Park,44,47,-123
304,Cold Springs - Sequoia National Park,50,36,-118
314,Juniper - Theodore Roosevelt National Park,52,47,-103
322,Mammoth - Yellowstone National Park,57,44,-110
333,North Pines - Yosemite National Park,58,37,-119
262,Sentinel - Sequoia and Kings Canyon National Park,36,36,-118
280,Deer Park - Olympic National Park,44,47,-123
288,Ozette - Olympic National Park,44,48,-124
299,Longs Peak - Rocky Mountain National Park,48,40,-105
309,Big Meadows - Shenandoah National Park,51,38,-78
321,Lewis Lake - Yellowstone National Park,57,44,-110
330,Lower Pines - Yosemite National Park,58,37,-119
338,Wawona  - Yosemite National Park,58,37,-119
